"Pais_Estudo","Modelo","n","media","mediana"
"Alpes Neutros","Modelo_1",2,-1.21698135484549,-1.21698135484549
"Alpes Neutros","Modelo_2",2,-1.06802366360705,-1.06802366360705
"Alpes Neutros","Modelo_3",2,-1.19935760483865,-1.19935760483865
"Alpes Neutros","Modelo_4",2,-0.96160818617957,-0.96160818617957
"Alpes Neutros","Modelo_5",2,-0.920477926102687,-0.920477926102687
"Arquipélago Oriente","Modelo_1",7,-1.20062599060185,-1.51209825280429
"Arquipélago Oriente","Modelo_2",7,-1.18087810455398,-1.27769524754905
"Arquipélago Oriente","Modelo_3",7,-1.34832467062838,-1.34428182344127
"Arquipélago Oriente","Modelo_4",7,-0.995739199032074,-1.11434228371459
"Arquipélago Oriente","Modelo_5",7,-1.31335434294454,-1.48529336552535
"Baixo Reino","Modelo_1",2,-0.833499289170174,-0.833499289170174
"Baixo Reino","Modelo_2",2,-0.705924973554376,-0.705924973554376
"Baixo Reino","Modelo_3",2,-0.95028761512553,-0.95028761512553
"Baixo Reino","Modelo_4",2,-1.23077470374513,-1.23077470374513
"Baixo Reino","Modelo_5",2,-1.04072689691163,-1.04072689691163
"Campo Rico","Modelo_1",25,-1.56266435619997,-1.61859585427418
"Campo Rico","Modelo_2",25,-1.43910001517,-1.41454490833929
"Campo Rico","Modelo_3",25,-1.57373285023064,-1.60157239005991
"Campo Rico","Modelo_4",25,-1.25785766800626,-1.21014117319359
"Campo Rico","Modelo_5",25,-1.60917498110423,-1.61175388810791
"Costa Austral","Modelo_1",10,-1.3803753410321,-1.34590024564996
"Costa Austral","Modelo_2",10,-1.12103926335467,-1.09925090687293
"Costa Austral","Modelo_3",10,-1.4315141654238,-1.47430279074278
"Costa Austral","Modelo_4",10,-1.5003797972346,-1.47766766457138
"Costa Austral","Modelo_5",10,-1.42717112183887,-1.45328223557935
"Grandvale","Modelo_1",90,-1.17232208508193,-1.13853597308452
"Grandvale","Modelo_2",90,-1.28373019642909,-1.30561902866479
"Grandvale","Modelo_3",90,-1.21082319200128,-1.18760350242236
"Grandvale","Modelo_4",90,-1.29159440426081,-1.37758950500894
"Grandvale","Modelo_5",90,-1.23352552507454,-1.16218661677424
"Ilha Verdejante","Modelo_1",16,-1.15952540627637,-1.11519771687174
"Ilha Verdejante","Modelo_2",16,-1.00263478860104,-0.918995537254952
"Ilha Verdejante","Modelo_3",16,-1.30739801198227,-1.26703082402055
"Ilha Verdejante","Modelo_4",16,-1.64233996548433,-1.65498132319936
"Ilha Verdejante","Modelo_5",16,-1.2620954603138,-1.26656936249397
"Ilhota Central","Modelo_1",3,-1.82502179570067,-1.65050213485928
"Ilhota Central","Modelo_2",3,-1.29665258245289,-1.20047473874116
"Ilhota Central","Modelo_3",3,-1.97235146413633,-2.11122508299398
"Ilhota Central","Modelo_4",3,-0.955954478075466,-1.04278808253257
"Ilhota Central","Modelo_5",3,-1.90480588188473,-1.99914024671209
"Império Central","Modelo_1",2,-1.17955635543708,-1.17955635543708
"Império Central","Modelo_2",2,-1.02303904622475,-1.02303904622475
"Império Central","Modelo_3",2,-1.52002853644436,-1.52002853644436
"Império Central","Modelo_4",2,-1.43252562938569,-1.43252562938569
"Império Central","Modelo_5",2,-1.28682783499643,-1.28682783499643
"Monção Dourada","Modelo_1",12,-1.27445968878829,-1.15688433217197
"Monção Dourada","Modelo_2",12,-1.27846767034512,-1.03705122933335
"Monção Dourada","Modelo_3",12,-1.40119672317319,-1.41326400792914
"Monção Dourada","Modelo_4",12,-1.34061242144231,-1.19501107375375
"Monção Dourada","Modelo_5",12,-1.43446390347169,-1.1485323997123
"Península Matina","Modelo_1",5,-1.60622101361247,-1.46823686687237
"Península Matina","Modelo_2",5,-1.63813866684592,-1.7087194946375
"Península Matina","Modelo_3",5,-1.56392120440436,-1.48104013942167
"Península Matina","Modelo_4",5,-1.36865282860273,-1.44967736146624
"Península Matina","Modelo_5",5,-1.82035881197198,-1.75820541863579
"Planalto Sol","Modelo_1",12,-1.27481469369635,-1.27724920111918
"Planalto Sol","Modelo_2",12,-1.20889395473239,-1.10191262794491
"Planalto Sol","Modelo_3",12,-1.34270544625833,-1.3923662689642
"Planalto Sol","Modelo_4",12,-1.38925051748839,-1.29144830601992
"Planalto Sol","Modelo_5",12,-1.39135343043466,-1.25496618538557
"Reino Litoral","Modelo_1",17,-1.3168152935201,-1.11313460800584
"Reino Litoral","Modelo_2",17,-1.15553546653014,-0.913219100358492
"Reino Litoral","Modelo_3",17,-1.42700745758798,-1.26469036066163
"Reino Litoral","Modelo_4",17,-1.68179054299328,-1.63254747133918
"Reino Litoral","Modelo_5",17,-1.31885530127144,-1.2586328663268
"Terra Nortenha","Modelo_1",12,-1.26480979654437,-1.21478023992194
"Terra Nortenha","Modelo_2",12,-1.29965274163179,-1.31605437946229
"Terra Nortenha","Modelo_3",12,-1.38736327419893,-1.27991369909973
"Terra Nortenha","Modelo_4",12,-1.51853913162809,-1.45172314791708
"Terra Nortenha","Modelo_5",12,-1.32793920092612,-1.23759364387142
"Terra do Galo","Modelo_1",2,-0.90144317776344,-0.90144317776344
"Terra do Galo","Modelo_2",2,-0.829513775201251,-0.829513775201251
"Terra do Galo","Modelo_3",2,-1.02387606627666,-1.02387606627666
"Terra do Galo","Modelo_4",2,-1.32314349393088,-1.32314349393088
"Terra do Galo","Modelo_5",2,-1.07836727103094,-1.07836727103094
"Vale do Indus Novo","Modelo_1",6,-0.785039538597374,-0.837758934893879
"Vale do Indus Novo","Modelo_2",6,-0.794965501092265,-0.910820171992968
"Vale do Indus Novo","Modelo_3",6,-0.698945671364953,-0.576363635776752
"Vale do Indus Novo","Modelo_4",6,-1.14388416436364,-1.10706897424938
"Vale do Indus Novo","Modelo_5",6,-1.15676348899939,-1.29410372990964
