"Pais_Estudo","Modelo","n","media","mediana"
"Campo Rico","Modelo_1",25,-1.56266435619997,-1.61859585427418
"Campo Rico","Modelo_5",25,-1.60917498110423,-1.61175388810791
"Campo Rico","Modelo_3",25,-1.57373285023064,-1.60157239005991
"Campo Rico","Modelo_2",25,-1.43910001517,-1.41454490833929
"Campo Rico","Modelo_4",25,-1.25785766800626,-1.21014117319359
"Costa Austral","Modelo_4",10,-1.5003797972346,-1.47766766457138
"Costa Austral","Modelo_3",10,-1.4315141654238,-1.47430279074278
"Costa Austral","Modelo_5",10,-1.42717112183887,-1.45328223557935
"Costa Austral","Modelo_1",10,-1.3803753410321,-1.34590024564996
"Costa Austral","Modelo_2",10,-1.12103926335467,-1.09925090687293
"Ilha Verdejante","Modelo_4",16,-1.64233996548433,-1.65498132319936
"Ilha Verdejante","Modelo_3",16,-1.30739801198227,-1.26703082402055
"Ilha Verdejante","Modelo_5",16,-1.2620954603138,-1.26656936249397
"Ilha Verdejante","Modelo_1",16,-1.15952540627637,-1.11519771687174
"Ilha Verdejante","Modelo_2",16,-1.00263478860104,-0.918995537254952
"Monção Dourada","Modelo_3",12,-1.40119672317319,-1.41326400792914
"Monção Dourada","Modelo_4",12,-1.34061242144231,-1.19501107375375
"Monção Dourada","Modelo_1",12,-1.27445968878829,-1.15688433217197
"Monção Dourada","Modelo_5",12,-1.43446390347169,-1.1485323997123
"Monção Dourada","Modelo_2",12,-1.27846767034512,-1.03705122933335
"Terra Nortenha","Modelo_4",12,-1.51853913162809,-1.45172314791708
"Terra Nortenha","Modelo_2",12,-1.29965274163179,-1.31605437946229
"Terra Nortenha","Modelo_3",12,-1.38736327419893,-1.27991369909973
"Terra Nortenha","Modelo_5",12,-1.32793920092612,-1.23759364387142
"Terra Nortenha","Modelo_1",12,-1.26480979654437,-1.21478023992194
