"Sexo_Animal","Modelo","n","media","mediana"
"Boi","Modelo_1",136,-1.24064894590234,-1.17725624552043
"Boi","Modelo_2",136,-1.22061478332016,-1.14453836773975
"Boi","Modelo_3",136,-1.28994790213767,-1.31206635597441
"Boi","Modelo_4",136,-1.31371566952568,-1.39986230445416
"Boi","Modelo_5",136,-1.29288771556942,-1.25006433175427
"Novilha","Modelo_1",22,-1.12243068855207,-1.08894414991229
"Novilha","Modelo_2",22,-0.94035521916804,-0.901022083707194
"Novilha","Modelo_3",22,-1.25800665182228,-1.26703082402055
"Novilha","Modelo_4",22,-1.47304950952609,-1.36168441343971
"Novilha","Modelo_5",22,-1.24556370595948,-1.25937966610326
"Novilho","Modelo_1",44,-1.37448525002727,-1.39608116568931
"Novilho","Modelo_2",44,-1.39104596701185,-1.35768228034625
"Novilho","Modelo_3",44,-1.42942917734853,-1.41529301952844
"Novilho","Modelo_4",44,-1.30307676966369,-1.23238142811718
"Novilho","Modelo_5",44,-1.49361678897804,-1.49051569959998
"Não especificado","Modelo_1",4,-1.14736331569637,-1.15314079429943
"Não especificado","Modelo_2",4,-1.02939130968815,-1.03442696186047
"Não especificado","Modelo_3",4,-1.39916487652674,-1.4077002367501
"Não especificado","Modelo_4",4,-1.1669414001654,-1.17147307197825
"Não especificado","Modelo_5",4,-1.11705875298657,-1.12261334169216
"Touro","Modelo_1",4,-1.45815232311346,-1.3763546830037
"Touro","Modelo_2",4,-1.51704874247693,-1.51063536091347
"Touro","Modelo_3",4,-1.51041970660387,-1.53569282519679
"Touro","Modelo_4",4,-1.84479323386294,-1.94257072070708
"Touro","Modelo_5",4,-1.47418919351612,-1.29442613747945
"Vaca","Modelo_1",13,-1.20378701841519,-1.15108994107731
"Vaca","Modelo_2",13,-1.39541755902534,-1.41638648187675
"Vaca","Modelo_3",13,-1.26912723847039,-1.12291204994979
"Vaca","Modelo_4",13,-1.65603183831253,-1.87103513357242
"Vaca","Modelo_5",13,-1.40471849661074,-1.29573748209378
