"Status_Metabolico","Modelo","n","media","mediana"
"Crescimento","Modelo_1",113,-1.25302159948663,-1.19669396975511
"Crescimento","Modelo_2",113,-1.21282232058092,-1.14460812991103
"Crescimento","Modelo_3",113,-1.30706905216459,-1.36732452349047
"Crescimento","Modelo_4",113,-1.27408187248995,-1.29724273871732
"Crescimento","Modelo_5",113,-1.32194438745683,-1.35036437504026
"Crescimento e Terminação","Modelo_1",8,-1.67746128587585,-1.61068284896348
"Crescimento e Terminação","Modelo_2",8,-1.21557602381211,-1.21733256729311
"Crescimento e Terminação","Modelo_3",8,-1.9012655793709,-1.77038578999227
"Crescimento e Terminação","Modelo_4",8,-1.45275557048085,-1.2915466618693
"Crescimento e Terminação","Modelo_5",8,-1.70523875491844,-1.63551140682785
"Maturo","Modelo_1",17,-1.34943993172588,-1.28166155776276
"Maturo","Modelo_2",17,-1.21175240692533,-1.06366915936457
"Maturo","Modelo_3",17,-1.4661146169781,-1.44958268678148
"Maturo","Modelo_4",17,-1.48815806388098,-1.36847048439323
"Maturo","Modelo_5",17,-1.49487290521457,-1.44684426954153
"Terminação","Modelo_1",85,-1.20022078492193,-1.12502799841605
"Terminação","Modelo_2",85,-1.2805919416927,-1.31415056774405
"Terminação","Modelo_3",85,-1.25068307351285,-1.20819388361519
"Terminação","Modelo_4",85,-1.42460196850891,-1.42184325074387
"Terminação","Modelo_5",85,-1.28407219523432,-1.20922368208188
