"Pais_Estudo","Modelo","n","media","mediana"
"Alpes Neutros","Modelo_1",2,-1.21698135484549,-1.21698135484549
"Arquipélago Oriente","Modelo_1",7,-1.20062599060185,-1.51209825280429
"Baixo Reino","Modelo_4",2,-1.23077470374513,-1.23077470374513
"Campo Rico","Modelo_1",25,-1.56266435619997,-1.61859585427418
"Costa Austral","Modelo_4",10,-1.5003797972346,-1.47766766457138
"Grandvale","Modelo_4",90,-1.29159440426081,-1.37758950500894
"Ilha Verdejante","Modelo_4",16,-1.64233996548433,-1.65498132319936
"Ilhota Central","Modelo_3",3,-1.97235146413633,-2.11122508299398
"Império Central","Modelo_3",2,-1.52002853644436,-1.52002853644436
"Monção Dourada","Modelo_3",12,-1.40119672317319,-1.41326400792914
"Península Matina","Modelo_5",5,-1.82035881197198,-1.75820541863579
"Planalto Sol","Modelo_3",12,-1.34270544625833,-1.3923662689642
"Reino Litoral","Modelo_4",17,-1.68179054299328,-1.63254747133918
"Terra Nortenha","Modelo_4",12,-1.51853913162809,-1.45172314791708
"Terra do Galo","Modelo_4",2,-1.32314349393088,-1.32314349393088
"Vale do Indus Novo","Modelo_5",6,-1.15676348899939,-1.29410372990964
