protocolo,modelo,n_folds,n,mape,mae,rmse,r2,top1,top1_sempre_campeao
GroupKFold,ols_(sexo_modelo),5,1115,2.580106082262081,0.14065420070833953,0.19931438572411816,-0.13999769388762207,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(fracao)_(sexo_modelo),5,1115,2.5812910186694067,0.1405450304448841,0.19835983735095988,-0.13039828338815784,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(modelo),5,1115,2.6283822015752247,0.1412122323575537,0.1997404256070758,-0.14239319675568038,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(fracao)_(modelo),5,1115,2.629417027566501,0.14069934581273882,0.1991410524460911,-0.13666979194090775,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(status_sexo_modelo),5,1115,2.6306326513211604,0.14284287527920805,0.20044723166730863,-0.15736502508956743,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(consumo)_(pais_status_sexo_modelo),5,1115,2.9235509635848693,0.15510952229611027,0.21412562987279843,-0.3647910998190165,0.3183856502242152,0.2645739910313901
GroupKFold,ols_(consumo_fracao)_(pais_status_sexo_modelo),5,1115,2.956049438904272,0.1556686331875239,0.21478306531451188,-0.37232696633936074,0.3183856502242152,0.2645739910313901
GroupKFold,baseline_mediana_modelo,5,1115,2.960445288198697,0.1398725343169682,0.1939161638133625,-0.07873021457639995,0.2645739910313901,0.2645739910313901
LOSO_paises_case,ols_(consumo)_(pais_status_sexo_modelo),38,375,1.9838863930676771,0.11756115930571896,0.1368480661884248,-3.0630443726957735,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(peso_consumo)_(pais_status_sexo_modelo),38,375,1.993486249245291,0.1178701153127011,0.13714600702242216,-3.079601558627251,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(consumo)_(pais_status_sexo),38,375,2.006837032260412,0.11858778225328158,0.13808356198986227,-3.095084600423643,0.09333333333333334,0.41333333333333333
LOSO_paises_case,ols_(consumo_fracao)_(pais_status_sexo_modelo),38,375,2.0126439051391447,0.1176206064186516,0.13701360040924926,-3.0292132753470886,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(peso_consumo)_(pais_status_sexo),38,375,2.0165106067143803,0.1188918424755192,0.1383763854159155,-3.111365315750872,0.09333333333333334,0.41333333333333333
LOSO_paises_case,ols_(status_sexo_modelo),38,375,2.345274664029651,0.10734390671371223,0.12439339678529072,-2.199001167598493,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(fracao)_(sexo_modelo),38,375,2.42880819651789,0.10561469970630641,0.12328310983862868,-1.9739942524316978,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(sexo_modelo),38,375,2.4968001005513565,0.10545729672455244,0.12245655643653629,-1.9844435336983055,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(modelo),38,375,2.7600786133201116,0.10711025708168699,0.12326733827642253,-1.8048025266774685,0.41333333333333333,0.41333333333333333
LOSO_paises_case,ols_(fracao)_(modelo),38,375,2.775624013217,0.10764529364614137,0.12410970459573066,-1.8083616017540107,0.41333333333333333,0.41333333333333333
LOSO_paises_case,baseline_mediana_modelo,38,375,3.1887768151730604,0.10814986642197559,0.12389256077876824,-1.7465310724592278,0.41333333333333333,0.41333333333333333
